time,open,high,low,close,volume,trade
2018-04-01,393.93000000,399.91000000,356.90000000,378.58000000,150493.99422000,71969.44590000
2018-04-02,378.58000000,394.87000000,375.00000000,385.05000000,113242.14191000,60918.09989000
2018-04-03,385.00000000,419.08000000,380.13000000,415.01000000,137897.55565000,72741.86375000
2018-04-04,415.00000000,416.50000000,370.00000000,378.16000000,140598.39668000,69080.32064000
2018-04-05,378.15000000,387.03000000,365.61000000,381.22000000,120314.05875000,60702.08220000
2018-04-06,381.56000000,385.91000000,362.54000000,368.89000000,74458.69141000,36948.37773000
2018-04-07,368.89000000,394.75000000,368.28000000,384.51000000,71463.42848000,39310.34310000
2018-04-08,384.51000000,404.05000000,384.00000000,400.40000000,57395.52936000,31269.11717000
2018-04-09,400.40000000,431.99000000,387.10000000,399.44000000,151653.50413000,81164.60858000
2018-04-10,399.25000000,418.68000000,391.40000000,416.07000000,81394.29605000,39654.82636000
2018-04-11,415.53000000,433.54000000,410.38000000,429.52000000,86706.68627000,44672.00021000
2018-04-12,429.90000000,499.00000000,412.88000000,495.67000000,249766.38316000,121547.23979000
2018-04-13,494.30000000,530.00000000,480.22000000,495.11000000,251752.08782000,123872.45036000
2018-04-14,494.69000000,515.00000000,485.58000000,502.68000000,121283.33380000,60998.98842000
2018-04-15,502.68000000,535.00000000,502.51000000,533.88000000,108739.15395000,57139.99073000
2018-04-16,533.88000000,538.00000000,497.31000000,511.46000000,130359.52549000,60079.00406000
2018-04-17,512.09000000,521.20000000,500.02000000,502.56000000,96541.96382000,46910.09255000
2018-04-18,502.56000000,526.99000000,501.12000000,526.09000000,73161.95251000,40719.86775000
2018-04-19,526.49000000,571.61000000,521.03000000,568.14000000,112235.77328000,58720.48369000
2018-04-20,568.14000000,622.17000000,556.50000000,617.09000000,160209.03951000,74320.28896000
2018-04-21,616.80000000,624.50000000,570.23000000,604.87000000,159364.95353000,78153.60888000
2018-04-22,604.87000000,643.49000000,589.00000000,620.92000000,120127.37280000,61246.48956000
